question_id,job_group,area,element,text
Q18,전략/기획,A,객관성,내 생각과 다른 자료가 나오면 기존 판단을 수정할 수 있다.
Q19,전략/기획,A,불확실성 수용,정보가 완전하지 않은 상황에서도 합리적인 기준을 세워 판단하려 한다.
Q20,전략/기획,A,전체 최적 관점,특정 부서의 입장보다 회사 전체에 도움이 되는 방향을 우선해서 생각한다.
Q21,구매/SCM,K-SJT,조건 종합 비교,가격이 가장 낮은 공급사가 납기와 품질 이력이 불안정하다. 나는 가격 외 조건을 동일 기준으로 비교해 전체 위험을 판단한다.
Q22,구매/SCM,K-SJT,공급 차질 정보 탐색,"주요 자재의 납기 지연 가능성을 알게 되었다. 나는 확정될 때까지 기다리기보다 영향 범위, 재고와 대체 공급 가능성을 먼저 확인한다."
Q23,구매/SCM,K-SJT,통관 기준 확인,수입 품목의 분류 기준이 애매하다. 나는 유사 품목만 따라 하기보다 관련 기준과 증빙을 확인하고 전문가에게 검토를 요청한다.
Q24,구매/SCM,S,조건 비교,"여러 대안을 비교할 때 가격 외에도 품질, 납기와 위험요인을 함께 살펴본다."
Q25,구매/SCM,S,협상 준비,상대방과 협의하기 전에 내가 원하는 조건과 양보 가능한 범위를 정리하는 편이다.
Q26,구매/SCM,S,차질 대응,계획에 차질이 생기면 대체 방법과 우선 처리 대상을 빠르게 찾으려 한다.
Q27,구매/SCM,A,원칙 있는 협력,좋은 관계를 유지하더라도 정해진 기준과 절차는 지켜야 한다고 생각한다.
Q28,구매/SCM,A,비용 의식,작은 비용이라도 반복되면 큰 영향을 줄 수 있다고 생각한다.
Q29,구매/SCM,A,신속한 소통,문제가 예상되면 확실해질 때까지 기다리기보다 관련자에게 먼저 공유하는 편이다.
Q30,구매/SCM,A,현장 관심,문서상의 계획뿐 아니라 실제 자재와 물류가 움직이는 현장을 직접 확인하고 싶다.
Q31,생산/기술,K-SJT,설비 이상 접근,설비에서 평소와 다른 소리가 나지만 생산은 계속되고 있다. 나는 정상으로 단정하지 않고 안전하게 상태와 기준값을 확인한다.
Q32,생산/기술,K-SJT,작업표준 학습,처음 맡은 작업의 순서가 익숙한 방식과 다르다. 나는 임의로 바꾸기보다 표준의 목적과 위험요인을 이해한 후 수행한다.
Q33,생산/기술,K-SJT,고장 원인 탐색,장비가 간헐적으로 멈추지만 원인이 바로 보이지 않는다. 나는 여러 설정을 한꺼번에 바꾸지 않고 증상과 조건을 기록하며 원인을 좁힌다.
Q34,생산/기술,S,원인 탐색,장비나 과정에 문제가 생기면 증상을 관찰하고 원인을 단계적으로 좁혀 가는 편이다.
Q35,생산/기술,S,공간·공정 이해,"도면, 구조 또는 작업 순서를 보며 실제 움직임을 머릿속으로 그려 보는 것을 좋아한다."
Q36,생산/기술,S,개선 아이디어,반복 작업을 보면 더 안전하고 효율적인 방법이 없는지 생각해 보는 편이다.
Q37,생산/기술,A,안전 우선,일정이 급하더라도 안전수칙을 생략해서는 안 된다고 생각한다.
Q38,생산/기술,A,현장 적응,"소음, 설비와 교대근무 가능성이 있는 생산현장에서도 역할을 수행할 의향이 있다."
Q39,생산/기술,A,문제해결 끈기,처음 시도한 방법이 실패해도 다른 원인을 찾아 다시 시도하는 편이다.
Q40,생산/기술,A,표준 준수,더 익숙한 방법이 있더라도 승인된 작업표준을 먼저 따르는 것이 중요하다고 생각한다.
Q41,상생협력,K-SJT,협력사 원인 파악,"협력사의 납기 지연이 반복된다. 나는 의지 부족으로 단정하기보다 공정, 인력, 자재 등 실제 제약을 먼저 확인한다."
Q42,상생협력,K-SJT,기준과 현실 조율,협력사가 품질 기준을 맞추기 어렵다고 호소한다. 나는 기준을 낮추거나 일방적으로 요구하기보다 미충족 원인과 개선 단계를 함께 확인한다.
Q43,상생협력,K-SJT,지원제도 적용 판단,"협력사 지원 프로그램을 검토할 때 나는 지원 규모보다 대상 조건, 예상 효과와 사후 확인 방법을 먼저 살펴본다."
Q44,상생협력,S,상대 수준 파악,상대방의 설명을 들을 때 현재 어려움과 지원이 필요한 부분을 구분해 파악하려 한다.
Q45,상생협력,S,개선안 제시,문제를 지적하는 데 그치지 않고 상대가 실행할 수 있는 개선 방법을 함께 생각한다.
Q46,상생협력,S,관계 조율,회사 기준과 협력사의 현실이 충돌할 때 양쪽이 실행 가능한 대안을 찾으려 한다.
Q47,상생협력,A,파트너십,협력사를 단순한 거래 상대보다 함께 성과를 만드는 파트너로 대하는 것이 중요하다고 생각한다.
Q48,상생협력,A,기준 유지,상대의 사정에 공감하더라도 품질과 윤리 기준은 낮춰서는 안 된다고 생각한다.
Q49,상생협력,A,존중하는 소통,상대의 규모나 직급과 관계없이 존중하는 태도로 의견을 전달한다.
Q50,상생협력,A,지원 성과 보람,내가 직접 만든 결과물뿐 아니라 다른 조직의 성장을 지원하는 일에서도 보람을 느낀다.
Q51,R&D,K-SJT,예상 밖 결과 해석,"시험 결과가 예상과 반대로 나왔다. 나는 실패로 치부하기보다 측정 조건, 데이터와 가정을 차례로 다시 확인한다."
Q52,R&D,K-SJT,기술자료 검증,"새 기술에 대한 긍정적인 자료를 찾았다. 나는 바로 적용을 주장하기보다 출처, 적용 조건과 한계를 추가로 조사한다."
Q53,R&D,K-SJT,설계 변경 판단,작은 치수 변경으로 성능 개선이 예상되지만 다른 부품에 미치는 영향이 불분명하다. 나는 연결 조건과 검증 항목을 먼저 확인한다.
Q54,R&D,S,공간적 사고,도면이나 입체 형상을 보고 부품이 어떻게 조립될지 상상하는 것을 좋아한다.
Q55,R&D,S,가설 검증,예상과 다른 결과가 나오면 데이터를 다시 확인하고 가능한 원인을 비교해 본다.
Q56,R&D,S,세부 완성도,작은 치수나 조건의 차이가 결과에 미칠 영향을 세밀하게 살펴보는 편이다.
Q57,R&D,A,지적 호기심,모르는 기술이나 현상을 만나면 원리를 이해할 때까지 찾아보는 편이다.
Q58,R&D,A,실패 수용,실험이나 설계가 실패해도 학습할 정보를 찾고 다음 시도에 반영할 수 있다.
Q59,R&D,A,근거 중심,내 아이디어에 애착이 있어도 시험 결과가 다르면 결과를 우선해 판단한다.
Q60,R&D,A,장기 집중,즉시 성과가 보이지 않는 연구·개발 과제에도 꾸준히 집중할 수 있다.
Q61,품질,K-SJT,판정 기준 확인,측정값이 합격 기준 경계에 있다. 나는 경험상 괜찮다고 판단하기보다 측정 조건과 판정 기준을 다시 확인한다.
Q62,품질,K-SJT,원인과 현상 구분,같은 불량이 반복되자 현장에서 임시 조치를 제안한다. 나는 우선 확산을 막되 임시 조치와 근본 원인 규명을 구분해 진행한다.
Q63,품질,K-SJT,데이터 이상 검증,대부분의 측정값과 크게 다른 값 하나가 발견되었다. 나는 바로 삭제하지 않고 측정 오류인지 실제 이상인지 확인한다.
Q64,품질,S,이상 징후 발견,비슷한 자료나 제품 사이의 작은 차이를 비교하고 찾아내는 편이다.
Q65,품질,S,원인과 현상 구분,문제가 발생하면 눈에 보이는 현상과 근본 원인을 구분하려고 한다.
Q66,품질,S,근거 있는 설명,문제를 전달할 때 추측보다 측정값과 확인된 사실을 근거로 설명하려 한다.
Q67,품질,A,기준 일관성,납기나 관계가 부담되더라도 동일한 품질기준을 적용해야 한다고 생각한다.
Q68,품질,A,예방 지향,문제가 발생한 뒤 처리하는 것보다 사전에 위험을 발견하는 일에 더 가치를 느낀다.
Q69,품질,A,불편한 소통 감수,품질문제를 발견하면 상대가 불편해하더라도 필요한 내용을 명확히 전달할 수 있다.
Q70,품질,A,기록 정확성,작은 오류나 이상도 사실대로 기록하는 것이 중요하다고 생각한다.
Q71,안전환경,K-SJT,위험 신호 판단,"작업 중 작은 누출 흔적을 발견했지만 즉각적인 피해는 없다. 나는 경미하다고 넘기지 않고 물질, 확산 가능성과 대응 기준을 확인한다."
Q72,안전환경,K-SJT,법적 기준 확인,환경 배출 기준에 대한 설명이 담당자마다 다르다. 나는 관행을 따르기보다 최신 법령과 허가 조건을 확인한다.
Q73,안전환경,K-SJT,비상상황 우선순위,"비상상황에서 여러 요청이 동시에 들어온다. 나는 눈앞의 요청부터 처리하기보다 인명 위험, 확산 가능성과 정해진 절차를 기준으로 우선순위를 정한다."
Q74,안전환경,S,위험 사전 탐색,새로운 장소나 활동을 시작하기 전에 발생 가능한 위험을 먼저 살펴보는 편이다.
Q75,안전환경,S,비상상황 대응,예상치 못한 상황에서는 당황하기보다 정해진 절차와 우선순위를 확인하려 한다.
Q76,안전환경,S,세밀한 점검,점검표에 따라 작은 변화나 누락까지 확인하는 업무에 집중할 수 있다.
Q77,안전환경,A,안전 최우선,성과나 일정이 급해도 사람의 안전보다 우선할 수는 없다고 생각한다.
Q78,안전환경,A,원칙 있는 개입,위험한 행동을 발견하면 상대가 선배이거나 상급자여도 알릴 수 있다.
Q79,안전환경,A,환경 책임,법적 기준을 충족하는 것뿐 아니라 환경 영향을 줄이려는 노력도 중요하다고 생각한다.
Q80,안전환경,A,지속적 경계,사고가 오랫동안 없었더라도 안전 점검의 긴장을 늦춰서는 안 된다고 생각한다.
