question_id,job_group,area,element,culture_item_id,culture_domain,similarity
Q13,전략/기획,K-SJT,불확실 정보 보완,N023,원칙중시,0.15525470902875504
Q13,전략/기획,K-SJT,불확실 정보 보완,I033,혁신성,0.15155990161956376
Q13,전략/기획,K-SJT,불확실 정보 보완,I041,혁신성,0.15155990161956376
Q14,전략/기획,S,정보 구조화,I022_R,원칙중시,0.12407939154200547
Q14,전략/기획,S,정보 구조화,I286,의사소통,0.11519202307543583
Q14,전략/기획,S,정보 구조화,I178,역기능행동(CWB),0.11262337399290706
Q15,전략/기획,S,가설적 사고,I042,혁신성,0.10636491740009935
Q15,전략/기획,S,가설적 사고,I034,혁신성,0.10636491740009935
Q15,전략/기획,S,가설적 사고,I119_R,의사소통,0.10214767978449055
Q16,전략/기획,S,논리적 전달,I234,반응왜곡(인상관리),0.2195529353023338
Q16,전략/기획,S,논리적 전달,N028,원칙중시,0.11818261151012414
Q16,전략/기획,S,논리적 전달,I070,고객중심,0.08899266360023383
Q17,전략/기획,A,장기 관점,I022_R,원칙중시,0.10673692208796381
Q17,전략/기획,A,장기 관점,I197,정직성/무결성,0.09867221836491777
Q17,전략/기획,A,장기 관점,I001,원칙중시,0.08931696764985891
Q18,전략/기획,A,객관성,I185,정직성/무결성,0.11410793233897634
Q18,전략/기획,A,객관성,I226,반응왜곡(사회적바람직성),0.09963343062333083
Q18,전략/기획,A,객관성,N025,혁신성,0.09336859718813112
Q19,전략/기획,A,불확실성 수용,I206,반응왜곡(사회적바람직성),0.22783633132884246
Q19,전략/기획,A,불확실성 수용,N018,원칙중시,0.1859441560189731
Q19,전략/기획,A,불확실성 수용,I136,도전정신,0.18259503162573346
Q20,전략/기획,A,전체 최적 관점,I161,조직시민성(OCB),0.12994367361186174
Q20,전략/기획,A,전체 최적 관점,I225,반응왜곡(사회적바람직성),0.11294790619366658
Q20,전략/기획,A,전체 최적 관점,N025,혁신성,0.11176802409159806
Q21,구매/SCM,K-SJT,조건 종합 비교,N048,원칙중시,0.15280032517353095
Q21,구매/SCM,K-SJT,조건 종합 비교,N038,원칙중시,0.1327222097556289
Q21,구매/SCM,K-SJT,조건 종합 비교,I169,조직시민성(OCB),0.12734412266473155
Q22,구매/SCM,K-SJT,공급 차질 정보 탐색,I147_R,도전정신,0.08327221861741879
Q22,구매/SCM,K-SJT,공급 차질 정보 탐색,I109,의사소통,0.07962660936314758
Q22,구매/SCM,K-SJT,공급 차질 정보 탐색,I117,의사소통,0.07962660936314758
Q23,구매/SCM,K-SJT,통관 기준 확인,I023_R,원칙중시,0.11251625334111279
Q23,구매/SCM,K-SJT,통관 기준 확인,N028,원칙중시,0.10299711296321433
Q23,구매/SCM,K-SJT,통관 기준 확인,I169,조직시민성(OCB),0.08424154095346968
Q24,구매/SCM,S,조건 비교,I135,도전정신,0.11002104041617379
Q24,구매/SCM,S,조건 비교,I143,도전정신,0.11002104041617379
Q24,구매/SCM,S,조건 비교,I296,도전정신,0.10433200917601666
Q25,구매/SCM,S,협상 준비,I237,반응왜곡(인상관리),0.13567309868330268
Q25,구매/SCM,S,협상 준비,I022_R,원칙중시,0.12860733407009467
Q25,구매/SCM,S,협상 준비,I125_R,의사소통,0.11351245048730352
Q26,구매/SCM,S,차질 대응,I016,원칙중시,0.1516250319443442
Q26,구매/SCM,S,차질 대응,I008,원칙중시,0.1516250319443442
Q26,구매/SCM,S,차질 대응,I130,도전정신,0.1413859804656977
Q27,구매/SCM,A,원칙 있는 협력,I013,원칙중시,0.3095324107481136
Q27,구매/SCM,A,원칙 있는 협력,I005,원칙중시,0.3095324107481136
Q27,구매/SCM,A,원칙 있는 협력,I266,원칙중시,0.2986431636489566
Q28,구매/SCM,A,비용 의식,I110,의사소통,0.21994505102769585
Q28,구매/SCM,A,비용 의식,I102,의사소통,0.21994505102769585
Q28,구매/SCM,A,비용 의식,I225,반응왜곡(사회적바람직성),0.14466618192490838
Q29,구매/SCM,A,신속한 소통,I267,원칙중시,0.17900087513465324
Q29,구매/SCM,A,신속한 소통,I011,원칙중시,0.17900087513465324
Q29,구매/SCM,A,신속한 소통,I003,원칙중시,0.17900087513465324
Q30,구매/SCM,A,현장 관심,I169,조직시민성(OCB),0.08454568899960344
Q30,구매/SCM,A,현장 관심,N053_R,원칙중시,0.06728981470358907
Q30,구매/SCM,A,현장 관심,N007,도전정신,0.0527943239204096
Q31,생산/기술,K-SJT,설비 이상 접근,I219,반응왜곡(사회적바람직성),0.12253049781001328
Q31,생산/기술,K-SJT,설비 이상 접근,I185,정직성/무결성,0.08244763608954504
Q31,생산/기술,K-SJT,설비 이상 접근,I014,원칙중시,0.07060225580263774
Q32,생산/기술,K-SJT,작업표준 학습,N051_R,고객중심,0.05821844778153301
Q32,생산/기술,K-SJT,작업표준 학습,N027,도전정신,0.05140305022940293
Q32,생산/기술,K-SJT,작업표준 학습,N022,도전정신,0.051138865433109
Q33,생산/기술,K-SJT,고장 원인 탐색,N055_R,혁신성,0.11438486330186551
Q33,생산/기술,K-SJT,고장 원인 탐색,I205,반응왜곡(사회적바람직성),0.11336974435757838
Q33,생산/기술,K-SJT,고장 원인 탐색,I248,반응왜곡(자기기만),0.11295791967621045
Q34,생산/기술,S,원인 탐색,I008,원칙중시,0.21835194768194635
Q34,생산/기술,S,원인 탐색,I016,원칙중시,0.21835194768194635
Q34,생산/기술,S,원인 탐색,I164,조직시민성(OCB),0.1784786795052447
Q35,생산/기술,S,공간·공정 이해,N045,혁신성,0.06966516442953548
Q35,생산/기술,S,공간·공정 이해,N054_R,의사소통,0.06780644128914014
Q35,생산/기술,S,공간·공정 이해,I235,반응왜곡(인상관리),0.04448492437053672
Q36,생산/기술,S,개선 아이디어,N045,혁신성,0.11622263222488385
Q36,생산/기술,S,개선 아이디어,I022_R,원칙중시,0.1006715499586951
Q36,생산/기술,S,개선 아이디어,I276,혁신성,0.09481581263265532
Q37,생산/기술,A,안전 우선,I021_R,원칙중시,0.2536881190801266
Q37,생산/기술,A,안전 우선,I225,반응왜곡(사회적바람직성),0.13037285098908946
Q37,생산/기술,A,안전 우선,I013,원칙중시,0.12880463980033147
Q38,생산/기술,A,현장 적응,N013,원칙중시,0.13753347672424318
Q38,생산/기술,A,현장 적응,I181,정직성/무결성,0.0741987070815476
Q38,생산/기술,A,현장 적응,I167,조직시민성(OCB),0.06606440218532071
Q39,생산/기술,A,문제해결 끈기,I244,반응왜곡(자기기만),0.19384111432336243
Q39,생산/기술,A,문제해결 끈기,I142,도전정신,0.19049446177925355
Q39,생산/기술,A,문제해결 끈기,I134,도전정신,0.19049446177925355
Q40,생산/기술,A,표준 준수,I047,혁신성,0.2187996352735902
Q40,생산/기술,A,표준 준수,I039,혁신성,0.2187996352735902
Q40,생산/기술,A,표준 준수,I225,반응왜곡(사회적바람직성),0.1735596684784805
Q41,상생협력,K-SJT,협력사 원인 파악,I201,반응왜곡(사회적바람직성),0.07986536240856704
Q41,상생협력,K-SJT,협력사 원인 파악,I113_R,의사소통,0.06112690570098925
Q41,상생협력,K-SJT,협력사 원인 파악,I225,반응왜곡(사회적바람직성),0.05924918775784556
Q42,상생협력,K-SJT,기준과 현실 조율,I113_R,의사소통,0.18781833881083482
Q42,상생협력,K-SJT,기준과 현실 조율,I078,고객중심,0.15879219887227708
Q42,상생협력,K-SJT,기준과 현실 조율,I070,고객중심,0.15879219887227708
Q43,상생협력,K-SJT,지원제도 적용 판단,I041,혁신성,0.08452343358172817
Q43,상생협력,K-SJT,지원제도 적용 판단,I033,혁신성,0.08452343358172817
Q43,상생협력,K-SJT,지원제도 적용 판단,I049_R,혁신성,0.0788339576375129
Q44,상생협력,S,상대 수준 파악,I101,의사소통,0.1806782895954287
Q44,상생협력,S,상대 수준 파악,I131,도전정신,0.12014525473366056
Q44,상생협력,S,상대 수준 파악,I139,도전정신,0.12014525473366056
Q45,상생협력,S,개선안 제시,I049_R,혁신성,0.14958082138287498
Q45,상생협력,S,개선안 제시,I235,반응왜곡(인상관리),0.12441242892973742
Q45,상생협력,S,개선안 제시,I225,반응왜곡(사회적바람직성),0.11953359308078308
Q46,상생협력,S,관계 조율,N013,원칙중시,0.14722027903117868
Q46,상생협력,S,관계 조율,I119_R,의사소통,0.09999914874194954
Q46,상생협력,S,관계 조율,I261,원칙중시,0.07617096642008511
Q47,상생협력,A,파트너십,I039,혁신성,0.18508558667839137
Q47,상생협력,A,파트너십,I047,혁신성,0.18508558667839137
Q47,상생협력,A,파트너십,I055_R,혁신성,0.12799634150415756
Q48,상생협력,A,기준 유지,I086_R,고객중심,0.19548123665059927
Q48,상생협력,A,기준 유지,I021_R,원칙중시,0.19006941747698863
Q48,상생협력,A,기준 유지,I015,원칙중시,0.1867240148874237
Q49,상생협력,A,존중하는 소통,I234,반응왜곡(인상관리),0.13933166815100725
Q49,상생협력,A,존중하는 소통,I006,원칙중시,0.13856455125637573
Q49,상생협력,A,존중하는 소통,I014,원칙중시,0.13856455125637573
Q50,상생협력,A,지원 성과 보람,I191,정직성/무결성,0.14032545824392528
Q50,상생협력,A,지원 성과 보람,I282,고객중심,0.12601818402988946
Q50,상생협력,A,지원 성과 보람,I048,혁신성,0.11897580966112532
Q51,R&D,K-SJT,예상 밖 결과 해석,N028,원칙중시,0.12592538539721618
Q51,R&D,K-SJT,예상 밖 결과 해석,I036,혁신성,0.06612268981376848
Q51,R&D,K-SJT,예상 밖 결과 해석,I044,혁신성,0.06612268981376848
Q52,R&D,K-SJT,기술자료 검증,I113_R,의사소통,0.07140196277890842
Q52,R&D,K-SJT,기술자료 검증,I033,혁신성,0.06905798610956451
Q52,R&D,K-SJT,기술자료 검증,I041,혁신성,0.06905798610956451
Q53,R&D,K-SJT,설계 변경 판단,N046,고객중심,0.08789280209758883
Q53,R&D,K-SJT,설계 변경 판단,I242,반응왜곡(자기기만),0.08274106513853166
Q53,R&D,K-SJT,설계 변경 판단,I201,반응왜곡(사회적바람직성),0.07881575418171581
Q54,R&D,S,공간적 사고,N018,원칙중시,0.05732979272014553
Q54,R&D,S,공간적 사고,I103,의사소통,0.05229006395164776
Q54,R&D,S,공간적 사고,I111,의사소통,0.05229006395164776
Q55,R&D,S,가설 검증,N007,도전정신,0.10625939241980006
Q55,R&D,S,가설 검증,I074,고객중심,0.10492951432762249
Q55,R&D,S,가설 검증,I066,고객중심,0.10492951432762249
Q56,R&D,S,세부 완성도,I276,혁신성,0.10078096355358727
Q56,R&D,S,세부 완성도,I056_R,혁신성,0.10078096355358727
Q56,R&D,S,세부 완성도,I022_R,원칙중시,0.10041013427903854
Q57,R&D,A,지적 호기심,I001,원칙중시,0.12128337868049502
Q57,R&D,A,지적 호기심,I009,원칙중시,0.12128337868049502
Q57,R&D,A,지적 호기심,I147_R,도전정신,0.11422529451263538
Q58,R&D,A,실패 수용,I134,도전정신,0.24087223906645963
Q58,R&D,A,실패 수용,I142,도전정신,0.24087223906645963
Q58,R&D,A,실패 수용,I244,반응왜곡(자기기만),0.17741653108392888
Q59,R&D,A,근거 중심,I165,조직시민성(OCB),0.17463751404766956
Q59,R&D,A,근거 중심,I296,도전정신,0.13112734336097726
Q59,R&D,A,근거 중심,I048,혁신성,0.11249950925138094
Q60,R&D,A,장기 집중,I008,원칙중시,0.09814848870808218
Q60,R&D,A,장기 집중,I016,원칙중시,0.09814848870808218
Q60,R&D,A,장기 집중,I280,고객중심,0.08828006458356613
Q61,품질,K-SJT,판정 기준 확인,I023_R,원칙중시,0.10301055464786793
Q61,품질,K-SJT,판정 기준 확인,I226,반응왜곡(사회적바람직성),0.08553245278066876
Q61,품질,K-SJT,판정 기준 확인,N041,고객중심,0.07228458516933667
Q62,품질,K-SJT,원인과 현상 구분,N016,고객중심,0.13573755531306084
Q62,품질,K-SJT,원인과 현상 구분,I087_R,고객중심,0.12950183381266062
Q62,품질,K-SJT,원인과 현상 구분,N012,도전정신,0.12454139870166128
Q63,품질,K-SJT,데이터 이상 검증,I050_R,혁신성,0.09055343362238438
Q63,품질,K-SJT,데이터 이상 검증,I205,반응왜곡(사회적바람직성),0.07887136731259714
Q63,품질,K-SJT,데이터 이상 검증,I248,반응왜곡(자기기만),0.06610517022924488
Q64,품질,S,이상 징후 발견,I022_R,원칙중시,0.10492028513980714
Q64,품질,S,이상 징후 발견,I009,원칙중시,0.09797086393898427
Q64,품질,S,이상 징후 발견,I001,원칙중시,0.09797086393898427
Q65,품질,S,원인과 현상 구분,I016,원칙중시,0.12994392233661028
Q65,품질,S,원인과 현상 구분,I008,원칙중시,0.12994392233661028
Q65,품질,S,원인과 현상 구분,I164,조직시민성(OCB),0.12375840924500557
Q66,품질,S,근거 있는 설명,I182,정직성/무결성,0.12710147476567873
Q66,품질,S,근거 있는 설명,I006,원칙중시,0.12623486387054567
Q66,품질,S,근거 있는 설명,I014,원칙중시,0.12623486387054567
Q67,품질,A,기준 일관성,I005,원칙중시,0.16709269191967405
Q67,품질,A,기준 일관성,I013,원칙중시,0.16709269191967405
Q67,품질,A,기준 일관성,I266,원칙중시,0.16121442667960098
Q68,품질,A,예방 지향,I191,정직성/무결성,0.14214030768968983
Q68,품질,A,예방 지향,I282,고객중심,0.13850268863098483
Q68,품질,A,예방 지향,I152_R,도전정신,0.12452950154529568
Q69,품질,A,불편한 소통 감수,N005,혁신성,0.1483247559553284
Q69,품질,A,불편한 소통 감수,N026,고객중심,0.1416801036922957
Q69,품질,A,불편한 소통 감수,N017,도전정신,0.12557237269290736
Q70,품질,A,기록 정확성,I047,혁신성,0.2131504776795402
Q70,품질,A,기록 정확성,I039,혁신성,0.2131504776795402
Q70,품질,A,기록 정확성,I055_R,혁신성,0.14722504696733113
Q71,안전환경,K-SJT,위험 신호 판단,I209,반응왜곡(사회적바람직성),0.10615271041345321
Q71,안전환경,K-SJT,위험 신호 판단,I214,반응왜곡(사회적바람직성),0.09656561213675117
Q71,안전환경,K-SJT,위험 신호 판단,I215,반응왜곡(사회적바람직성),0.0964172530911704
Q72,안전환경,K-SJT,법적 기준 확인,I181,정직성/무결성,0.0911086139871771
Q72,안전환경,K-SJT,법적 기준 확인,I186,정직성/무결성,0.07675360686696728
Q72,안전환경,K-SJT,법적 기준 확인,I163,조직시민성(OCB),0.06678073318766416
Q73,안전환경,K-SJT,비상상황 우선순위,I087_R,고객중심,0.17378711547591186
Q73,안전환경,K-SJT,비상상황 우선순위,I075,고객중심,0.13731760356109113
Q73,안전환경,K-SJT,비상상황 우선순위,I067,고객중심,0.13731760356109113
Q74,안전환경,S,위험 사전 탐색,I272,혁신성,0.10932782076492206
Q74,안전환경,S,위험 사전 탐색,I152_R,도전정신,0.10848610705539244
Q74,안전환경,S,위험 사전 탐색,I033,혁신성,0.10805755333283398
Q75,안전환경,S,비상상황 대응,I075,고객중심,0.22170633474679785
Q75,안전환경,S,비상상황 대응,I067,고객중심,0.22170633474679785
Q75,안전환경,S,비상상황 대응,I281,고객중심,0.22170633474679785
Q76,안전환경,S,세밀한 점검,I229,반응왜곡(사회적바람직성),0.1361213252034794
Q76,안전환경,S,세밀한 점검,I226,반응왜곡(사회적바람직성),0.13248412768760892
Q76,안전환경,S,세밀한 점검,I077,고객중심,0.1228415703976612
Q77,안전환경,A,안전 최우선,I005,원칙중시,0.23841820468400327
Q77,안전환경,A,안전 최우선,I013,원칙중시,0.23841820468400327
Q77,안전환경,A,안전 최우선,I266,원칙중시,0.23003073166472643
Q78,안전환경,A,원칙 있는 개입,I216,반응왜곡(사회적바람직성),0.14031245519880464
Q78,안전환경,A,원칙 있는 개입,N005,혁신성,0.13439380735632558
Q78,안전환경,A,원칙 있는 개입,I235,반응왜곡(인상관리),0.12109211573178821
Q79,안전환경,A,환경 책임,I039,혁신성,0.17950532606699765
Q79,안전환경,A,환경 책임,I047,혁신성,0.17950532606699765
Q79,안전환경,A,환경 책임,I055_R,혁신성,0.12565535973466624
Q80,안전환경,A,지속적 경계,I146_R,도전정신,0.18675166614809566
Q80,안전환경,A,지속적 경계,I021_R,원칙중시,0.17590425055095588
Q80,안전환경,A,지속적 경계,I200,정직성/무결성,0.11955991831023259
